# Combined map
# rounds=12, blocks=2
# Format:
# <name> input/output <index> aig_lit <aig_lit> dimacs_lit <dimacs_lit>

# Inputs
rk[2][6] output 102 aig_lit 78 dimacs_lit 39
rk[2][7] output 103 aig_lit 80 dimacs_lit 40
rk[2][8] output 104 aig_lit 82 dimacs_lit 41
rk[2][9] output 105 aig_lit 84 dimacs_lit 42
rk[2][10] output 106 aig_lit 86 dimacs_lit 43
rk[2][11] output 107 aig_lit 88 dimacs_lit 44
rk[2][12] output 108 aig_lit 90 dimacs_lit 45
rk[2][13] output 109 aig_lit 92 dimacs_lit 46
rk[2][14] output 110 aig_lit 94 dimacs_lit 47
rk[2][15] output 111 aig_lit 96 dimacs_lit 48
rk[3][0] output 112 aig_lit 98 dimacs_lit 49
rk[3][1] output 113 aig_lit 100 dimacs_lit 50
rk[3][2] output 114 aig_lit 102 dimacs_lit 51
rk[3][3] output 115 aig_lit 104 dimacs_lit 52
rk[3][4] output 116 aig_lit 106 dimacs_lit 53
rk[3][5] output 117 aig_lit 108 dimacs_lit 54
rk[3][6] output 118 aig_lit 110 dimacs_lit 55
rk[3][7] output 119 aig_lit 112 dimacs_lit 56
rk[3][8] output 120 aig_lit 114 dimacs_lit 57
rk[3][9] output 121 aig_lit 116 dimacs_lit 58
rk[3][10] output 122 aig_lit 118 dimacs_lit 59
rk[3][11] output 123 aig_lit 120 dimacs_lit 60
rk[3][12] output 124 aig_lit 122 dimacs_lit 61
rk[3][13] output 125 aig_lit 124 dimacs_lit 62
rk[3][14] output 126 aig_lit 126 dimacs_lit 63
rk[3][15] output 127 aig_lit 128 dimacs_lit 64
rk[4][0] output 128 aig_lit 430 dimacs_lit 215
rk[4][1] output 129 aig_lit 646 dimacs_lit 323
rk[4][2] output 130 aig_lit 610 dimacs_lit 305
rk[4][3] output 131 aig_lit 586 dimacs_lit 293
rk[4][4] output 132 aig_lit 304 dimacs_lit 152
rk[4][5] output 133 aig_lit 328 dimacs_lit 164
rk[4][6] output 134 aig_lit 370 dimacs_lit 185
rk[4][7] output 135 aig_lit 448 dimacs_lit 224
rk[4][8] output 136 aig_lit 868 dimacs_lit 434
