rounds,key,blocks,vars,clauses,literals,path
13,5,8,35152,104752,243056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/13roundsCNF/K5/instances/simon32_64_r13_key5_b8_reverse_round.cnf
14,1,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b1_reverse_round.cnf
14,1,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b2_reverse_round.cnf
14,1,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b4_reverse_round.cnf
14,1,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K1/instances/simon32_64_r14_key1_b8_reverse_round.cnf
14,2,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b1_reverse_round.cnf
14,2,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b2_reverse_round.cnf
14,2,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b4_reverse_round.cnf
14,2,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K2/instances/simon32_64_r14_key2_b8_reverse_round.cnf
14,3,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b1_reverse_round.cnf
14,3,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b2_reverse_round.cnf
